,Unnamed: 0,Company name,Angel link,Location,Website,Number of employees
129,129,DoctorKePaas,https://angel.co/company/doctorkepaas,Noida,doctorkepaas.com,1-10
130,130,Flowwow.com,https://angel.co/company/flowwow-2,Moscow,flowwow.com,11-50
131,131,Viadedo,https://angel.co/company/viadedo,Asuncion,viadedo.com,-
132,132,ProveYourSkillz,https://angel.co/company/proveyourskillz-1,Malta,proveyourskillz.com,1-10
133,133,TwishQ,https://angel.co/company/twishq,Gurgaon,twishq.com,-
134,134,Alkaline Golf,https://angel.co/company/peercar,Ewa Beach,alkalinegolf.com,1-10
135,135,Vidbead,https://angel.co/company/vidbead,Buenos Aires Province,vidbead.com,1-10
136,136,"MusicIDB (from Megabase, Inc)",https://angel.co/company/musicidb,Lowell,MusicIDB.com,1-10
137,137,VBNet,https://angel.co/company/vbnet,Dresden,vermieter-bewertung.net,
138,138,Blabster,https://angel.co/company/blabster,Dallas,blabster.com,1-10
139,139,GreekPlug,https://angel.co/company/greekplug,Miami,greekplug.com,1-10
140,140,QReca!,https://angel.co/company/qreca,Ioannina,qreca.com,1-10
141,141,eLUHY,https://angel.co/company/eluhy,Chicago,eluhy.com,1-10
142,142,"ObiNo, mobile Weight Loss Coach",https://angel.co/company/obino-mobile-weight-loss-coach,-,obino.in,1-10
143,143,Creative Canvas,https://angel.co/company/creative-canvas,Los Angeles,creativecanvas.com,1-10
144,144,HacemeUnRegalo.com,https://angel.co/company/hacemeunregalo-com-1,Buenos Aires Province,hacemeunregalo.com,1-10
145,145,AirKitty,https://angel.co/company/airkitty,Manchester,airkitty.co.uk,1-10
146,146,Pikit,https://angel.co/company/pikit,Louisville,pikit.com,1-10
147,147,Zstat,https://angel.co/company/zstat,Cambridge,zstat.us,1-10
148,148,SCS,https://angel.co/company/scs,Austin,not create,1-10
149,149,Charter Smarter,https://angel.co/company/charter-smarter,Panama City,SplitTrips.com,1-10
150,150,Revolutionary Advertising Products & Solutions Ltd.,https://angel.co/company/revolutionary-advertising-products-solutions-ltd,Jamaica,revolutionaryads.com,1-10
151,151,Facetoface,https://angel.co/company/facetoface,Baku,kes.az,11-50
152,152,Askmentor,https://angel.co/company/askmentor,India,askmentor.com,51-200
153,153,Welkeys,https://angel.co/company/welkeys,Paris,welkeys.com,1-10
154,154,Move Smart,https://angel.co/company/move-smart,London,movesmartapp.com,-
155,155,Livve - Relax when you can ...,https://angel.co/company/livve-relax-when-you-can,San Diego,Website,1-10
156,156,Speaking walls,https://angel.co/company/speaking-walls,Delhi,speakingwalls.in,1-10
157,157,Airnugget,https://angel.co/company/airnugget,Melbourne,airnugget.com,1-10
158,158,Funda,https://angel.co/company/funda-ai,London,funda.co,1-10
159,159,Muriquee UG,https://angel.co/company/muriquee-ug-1,Berlin,muriquee.com,1-10
160,160,SPeasy by wemoTech,https://angel.co/company/speasy-by-wemotech,Brighton,wemotech.co.uk,1-10
161,161,The Social Resource,https://angel.co/company/the-social-resource-2,Colorado,thesocialresouce.net,1-10
162,162,Vent,https://angel.co/company/vent-1,Toronto,get-vent.com,1-10
163,163,PeekAfar,https://angel.co/company/peekafar,Philadelphia,peekafar.com,-
164,164,TTM,https://angel.co/company/ttm,Sioux Falls,hypothermiatherapy.com,1-10
165,165,BULLBULL,https://angel.co/company/bullbull,"Jordan, JO",bullbull.net,1-10
166,166,Blue-Chip Unmanned Aerial Solutions,https://angel.co/company/blue-chip-unmanned-aerial-solutions,Wichita,blue-chipuas.com,1-10
167,167,Gradlancer,https://angel.co/company/gradlancer,Portsmouth,gradlancer.co.uk,-
168,168,UMOGA,https://angel.co/company/umoga-1,London,umoga.com,-
169,169,BoxToEat,https://angel.co/company/boxtoeat,San Francisco,boxtoeat.com,-
170,170,Ploud.io,https://angel.co/company/ploud-io,Bengaluru,ploud.io,1-10
171,171,MedTek Devices,https://angel.co/company/medtek-devices-1,Toronto,medtekdevices.com,1-10
172,172,Reelmonk,https://angel.co/company/reelmonk,Kochi,reelmonk.com,1-10
173,173,Soggy Doggy Group,https://angel.co/company/soggy-doggy-group-1,Melbourne,soggydoggygroup.com,
174,174,GST SOFTWARE,https://angel.co/company/gst-software,Missoula,gstsoftware.biz,1-10
175,175,Tyto Games,https://angel.co/company/tyto-games,Israel,tytogames.com,
176,176,American Physical Therapy Center,https://angel.co/company/american-physical-therapy-center,Lagos,aptwc.net,-
177,177,UPYME,https://angel.co/company/upyme,Buenos Aires,upyme.com.ar,-
178,178,SmatSocial,https://angel.co/company/smatsocial,Hyderabad,smatsocial.com,11-50
179,179,INBERA,https://angel.co/company/inbera-1,San Luis Potosi,inbera.mx,-
180,180,Transfer1.net,https://angel.co/company/transfer1-net,Tallinn,transfer1.net,-
181,181,Goldenrock Nightclub,https://angel.co/company/goldenrock-nightclub,West Hollywood,vibzenightclub.com,1-10
182,182,HOZIYANA GROUP,https://angel.co/company/hoziyana-group,Rwanda,cyamunara.com,1-10
183,183,Thats My Plan,https://angel.co/company/thats-my-plan-2,Pune,thatsmyplan.org,1-10
184,184,Ayni,https://angel.co/company/ayni,Quito,beayni.com,-
185,185,Crazzzy Travel,https://angel.co/company/crazzzy-travel,Tallahassee,crazzzytravel.com,1-10
186,186,Gopeers,https://angel.co/company/gopeers,Chicago,gopeers.com,
187,187,Scigenity Technologies,https://angel.co/company/scigenity-technologies,Beverly Hills,scigenitytech.com,1-10
188,188,Salomon Enterprise,https://angel.co/company/salomon-enterprise,London,painlessbra.com,1-10
189,189,Price4Limo,https://angel.co/company/price4limo,Boynton Beach,price4limo.com,11-50
190,190,Sanwo,https://angel.co/company/sanwo,Lagos,sanwo.org,11-50
191,191,D'clic,https://angel.co/company/d-clic,San Francisco,dclicbyyapo.com,1-10
192,192,audiodevel.com,https://angel.co/company/audiodevel-com,Lisbon,audiodevel.com,1-10
193,193,Mavin Skills,https://angel.co/company/sochgenie,Bengaluru,sochgenie.com,1-10
194,194,inCafe,https://angel.co/company/incafe,Kyiv city,incafe.co,1-10
195,195,HAC Technology Vietnam,https://angel.co/company/hac-technology-vietnam,Vietnam,diadiemcuoi.vn,1-10
196,196,Robotic Handling System (RHS),https://angel.co/company/robotic-handling-system-rhs,Milpitas,rhs-corp.com,-
197,197,FORTMENT,https://angel.co/company/fortment,California,fortment.com,
198,198,All the Curries,https://angel.co/company/all-the-curries,Houston,allthecurries.com,
199,199,Mtor,https://angel.co/company/mtor,Huntington Beach,mtoredu.com,1-10
200,200,Deepscope,https://angel.co/company/deepscope,Bangkok,deepscope.com,1-10
201,201,partyeswatini,https://angel.co/company/partyeswatini,Mbabane,partyeswatini.com,1-10
202,202,Kiwaho Lab of Energy & Ecology,https://angel.co/company/kiwaho-lab-of-energy-ecology,Mountain Home,1drv.ms,1-10
203,203,Mangosteen Eco Lifestyle,https://angel.co/company/mangosteen-eco-lifestyle-1,Indore,mangosteenecolifestyle.com,-
204,204,RevAmp Technologies,https://angel.co/company/revamp-technologies,Israel,RevAmp.tech,1-10
205,205,Sandaero Aerosystems,https://angel.co/company/sandaero-aerosystems,New York City,sandaero.com,-
206,206,Sun Trucking,https://angel.co/company/sun-trucking,Houston,none,
207,207,DriveAppeal,https://angel.co/company/driveappeal-1,Philadelphia,driveappeal.wix.com,1-10
208,208,Find Me Ink,https://angel.co/company/find-me-ink,Chicago,findmeink.com,1-10
209,209,iStudy Smart,https://angel.co/company/istudy-smart,London,istudysmart.eu,
210,210,Careerpedia,https://angel.co/company/careerpedia,Lagos,careerpedia.ng,-
211,211,Heallify,https://angel.co/company/heallify,Pune,heallify.com,1-10
212,212,Archaic Solutions OPC,https://angel.co/company/archaic-solutions-opc,Gurgaon,vikhyatrawla.wix.com,1-10
213,213,Happ,https://angel.co/company/happ-1,Kazakhstan,happapp.info,
214,214,Protobots,https://angel.co/company/protobots-1,San José,protobots.com,
215,215,Habashwe,https://angel.co/company/african-digital-experiences,South Africa,habashwe.com,1-10
216,216,I Glass Mediaworks,https://angel.co/company/i-glass-mediaworks,Mumbai,worldmusiccommunity.com,11-50
217,217,Picadoo,https://angel.co/company/picadoo,Johannesburg,picadoo.co.za,
218,218,ecodeneige,https://angel.co/company/ecodeneige,Marseille,euroquity.com,-
219,219,Bfit Technologies,https://angel.co/company/bfit-technologies,Bengaluru,anygofitness.com,1-10
220,220,BaseRails,https://angel.co/company/baserails,Providence,baserails.com,1-10
221,221,ToolGard,https://angel.co/company/toolgard,Chattanooga,toolgard.com,1-10
222,222,IlluminateHealth,https://angel.co/company/illuminatehealth,United States,chemistry.beloit.edu,1-10
223,223,St.Blaise,https://angel.co/company/st-blaise,Macomb,patft.uspto.gov,1-10
224,224,Taktik airsoft,https://angel.co/company/taktik-airsoft,Montreal,taktikairsoft.com,
225,225,Meridian Health Pte,https://angel.co/company/meridian-health-pte,Singapore,chimaster.me,
226,226,COME,https://angel.co/company/come-3,Cusco,comeenmimesa.com,1-10
227,227,Hypomo - Digital Mortgage Broker,https://angel.co/company/hypomo,Kingston,hypomo.com,1-10
228,228,ReelWurld,https://angel.co/company/reelwurld,New York City,see.thereelwurld.com,1-10
229,229,Picnara,https://angel.co/company/picnara,Noida,picnara.com,11-50
230,230,lululittle,https://angel.co/company/lululittle-1,Beirut,lululittle.me,-
231,231,Social Grid,https://angel.co/company/social-grid-1,Lisbon,socialgrid.pt,-
232,232,Yoop Tech,https://angel.co/company/yoop-tech,London,yoop.io,-
233,233,FreshAir,https://angel.co/company/freshair-car-freshener,Canada,freshair-car.com,1-10
234,234,Spothire,https://angel.co/company/spothire,Bangladesh,spothire.co,1-10
235,235,Kadeaa,https://angel.co/company/kadeaa,Mexico City,kadeaa.com,1-10
236,236,One Stop Wellness,https://angel.co/company/one-stop-wellness,Austin,onestopwellness.org,1-10
237,237,Stretech,https://angel.co/company/stretech,Kelowna,kingofvienna.com,-
238,238,Nimble,https://angel.co/company/nimbletoken,London,nmbl.info,-
239,239,How 2 Ventures,https://angel.co/company/how-2-ventures,San Francisco,how2ventures.com,-
240,240,hireXP,https://angel.co/company/www-hirexp-com,Singapore,hireXP.com,11-50
241,241,Ordaap,https://angel.co/company/ordaap,Chennai,ordaap.com,1-10
242,242,BotsFactory,https://angel.co/company/botsfactoryio,Montevideo,botsfactory.io,
243,243,GOOGABOX (GOOGABOX WORLD INTERNATIONAL),https://angel.co/company/googabox-googabox-world-international,Santiago de Las Vegas,GOOGABOX.COM,-
244,244,Definitechs,https://angel.co/company/definitechs-1,Montreal,definitechs.com,-
245,245,Rebill,https://angel.co/company/rebillto,Buenos Aires,rebill.to,1-10
246,246,Aidapp,https://angel.co/company/aidapp-1,Bengaluru,aidapp.in,11-50
247,247,Kumbil,https://angel.co/company/kumbil,Kochi,peotive.com,1-10
248,248,kentnix sarl,https://angel.co/company/kentnix-sarl,Yaounde,kentnix.com,1-10
249,249,mBreath Technologies,https://angel.co/company/mbreath-technologies,India,sleepdoc.ai,-
250,250,AR MARKET SRL,https://angel.co/company/ar-market-srl,Rome,arealitymarket.com,1-10
251,251,agreemint,https://angel.co/company/agreemint-com,San Francisco,agreemint.com,1-10
252,252,botsensei,https://angel.co/company/botsensei,Chicago,thebotsensei.com,11-50
253,253,VakSea,https://angel.co/company/vaksea,Baltimore,vaksea.com,1-10
254,254,zeroone.ai,https://angel.co/company/zeroone-ai,Toronto,zeroone.ai,1-10
255,255,Ubitrack,https://angel.co/company/ubitrack,Sofia,ubitrack.eu,1-10
256,256,Spliqs Intelligent Media,https://angel.co/company/spliqs-intelligent-media,Vancouver,spliqs.com,1-10
